field	filter	public_value	code	swedish	english	synonyms	comments	source
sample_project_code		PROJ Transp sec hansth Kristand	THK	PROJ Transp sec hansth Kristand	Transport Hanstholm-Kristsand	TRANSP. SEC. HANST-KRIST.<or>PROJ_Transp_sec_hansth_Kristand		translate_PROJ
sample_project_code		PROJ Undersökning av epibentisk fauna i Västerhavet	UEV	PROJ Undersökning av epibentisk fauna i Västerhavet	Monitoring of epibenthic fauna in the Skagerrak and Kattegatt seas			translate_PROJ
sample_project_code		PROJ Naturtypsbestämning enligt HUB	HUB	PROJ Naturtypsbestämning enligt HUB	Habitat determination Helcom Underwater Biotopes and habitats classification system HUB	Naturtypsbestämning kustvatten 2017		translate_PROJ
sample_project_code		PROJ Uppföljning naturtyper	UPP	PROJ Uppföljning naturtyper	Monitoring follow up habitats			translate_PROJ
sample_project_code		PROJ Utsjöbanksinventeringen	UTS	PROJ Utsjöbanksinventeringen	Outer sea bank mapping	U2 Dykinventering av utsjöbankar vid västkusten 2009-2010<or>U2 Dyktransektinventering på Svalan och Falkens grund i Bottenviken<or>U2 Hanöbukten Utklippan<or>U2 Svenska Björn<or>U2 UMF Dyk<or>U2 UMF Video<or>U2 Utgrundsinventeringen 2 Bottenhavet<or>U2 Video Sval Falk<or>U2 västkusten ROV<or>Utsjöbanksinventeringen<or>U2 Utgrundsinventeringen 2  Bottenhavet		translate_PROJ
sample_project_code		PROJ Vegetationsdata från yngelprovfiske	VEG	PROJ Vegetationsdata från yngelprovfiske	Vegetation data from spawn test fishing			translate_PROJ
sample_project_code		PROJ WATERS	WAT	PROJ WATERS	Waterbody Assessment Tools for Ecological Reference conditions and status in Sweden (WATERS)	Waters gradientstudie Östergötland kust vegetation<or>Waters<or>PROJ_WATERS<or>Mätkampanjen 2012 gradientstudier Östergötland Bottenfauna<or>Mätkampanjen 2012 gradientstudier Orust-Tjörn Bottenfauna<or>Waters gradientstudie Orust-Tjörn kust vegetation<or>Forskningsdata Waters Orust-Tjörn 2012<or>WATERS		translate_PROJ
sample_project_code		PROJ Världshavets Cirkulationsexperiment	WOC	PROJ Världshavets Cirkulationsexperiment	World Ocean Circulation Experiment	W. OCE. CIRC. PROJ.<or>PROJ_World_Ocean_Circulation_Experiment 		translate_PROJ
sample_project_code		PROJ Västra götaland pelagial mätkampanj	PMV	PROJ Västra götaland pelagial mätkampanj	Sampling campaign pelagic 2011 County Administration Board of Västra Götland	MÄTKAMP. PELAG. 2011<or>PROJ_Västra_götaland_pelagial_mätkampanj		translate_PROJ
sample_project_code		PROJ Östergötland Inre Kärrö	OST	PROJ Östergötland Inre Kärrö	Benthic survey of mussel cultivation effects			translate_PROJ
sample_project_code		PROJ Etableringsprogram Haparanda-Torneås kustvatten 2018-2019 BDK	HTX	PROJ Etableringsprogram Haparanda-Torneås kustvatten 2018-2019 BDK	Verification of recipient monitoring Haparanda-Torneå recipient monitoring Municipality of Norrbotten 2018-2019	Undersökning för programetablering i Haparanda-Torneås kustvatten 2018-2019		translate_PROJ
sample_project_code		PROJ Fiskeregleringar i marina skyddsområden	FMS	PROJ Fiskeregleringar i marina skyddsområden	Fisheries regulations in marine protected areas	Bratten SLU		translate_PROJ
sample_project_code		PROJ Återhämtning efter nedläggning av fiskodlingar vid Höga Kusten	FHK	PROJ Återhämtning efter nedläggning av fiskodlingar vid Höga Kusten	Recovery after closure of fish farms at Höga Kusten	Studie av återhämtning efter nedläggning av fiskodlingar vid Höga Kusten från 2020		translate_PROJ
