field	filter	public_value	code	swedish	english	synonyms	comments	edmo	source
laboratory		Marin Miljöanalys AB	MARMIL	Marin Miljöanalys AB	Marin Miljöanalys AB				translate_LABO
laboratory		Marin Mätteknik	MMT	Marin Mätteknik	MMT			3685.0	translate_LABO
laboratory		Marina läroverket i Stocksund	MARLAR	Marina läroverket i Stocksund	Marina läroverket i Stocksund				translate_LABO
laboratory		Marine Monitoring AB	MMAB	Marine Monitoring AB	Marine Monitoring AB	MAB			translate_LABO
laboratory		Marine Phytoplankton Consulting	MPC	Marine Phytoplankton Consulting	Marine Phytoplankton Consulting				translate_LABO
laboratory		MeAna konsult Uppsala	MEANA	MeAna konsult Uppsala	MeAna konsult Uppsala				translate_LABO
laboratory		Medins Havs och Vattenkonsulter	MEDINS	Medins Havs och Vattenkonsulter	MEDINS AB	Medins<or>Medins Biologi AB<or>Medins Havs och Vattenkonsulter AB<or>Medins Havs- och Vattenkonsulter AB<or>Medins havs och vattenkonsulter AB			translate_LABO
laboratory		Metsä Board Sverige AB	METSA	Metsä Board Sverige AB	Metsa Board	Metsä Board Sverige AB Husums Fabrik			translate_LABO
laboratory		Miljö & Natur Mats Notini AB	MNMN	Miljö & Natur Mats Notini AB	Miljö & Natur Mats Notini AB	Tronerud Miljö och Natur			translate_LABO
laboratory		Miljöbyrå	AWUK	Miljöbyrå	Environment Agency				translate_LABO
laboratory		Miljöbyrå Syd	SWUK	Miljöbyrå Syd	Environment Agency Southern				translate_LABO
laboratory		Miljölaboratorierna i Norrland	MILANO	Miljölaboratorierna i Norrland	Miljölaboratorierna i Norrland				translate_LABO
laboratory		Miljölaboratorierna Umeå	MILUME	Miljölaboratorierna Umeå	Miljölaboratorierna Umeå	Miljölaboratorierna - Umeå			translate_LABO
laboratory		Motala Ströms vattenvårdsförbund	MSVVF	Motala Ströms vattenvårdsförbund	Motala ström Coalition of Water Conservation	MSV<or>Motala Ströms Vattenvårdsförbund		4787.0	translate_LABO
laboratory		Mönsterås kommun	MONKOM	Mönsterås kommun	Mönsterås Municipality				translate_LABO
laboratory		Nacka kommun	NACKAKOM	Nacka kommun	Nacka Municipality			4784.0	translate_LABO
laboratory		National Marine Fisheries Research Institute (NMFRI)	NMFRI	National Marine Fisheries Research Institute (NMFRI)	National Marine Fisheries Research Institute (NMFRI)				translate_LABO
laboratory		Nationell datavärd Oceanografi	NODC	Nationell datavärd Oceanografi	National Oceanographic Data Center				translate_LABO
laboratory		Naturhistoriska riksmuseet	MNHS	Naturhistoriska riksmuseet	Swedish Museum of Natural History	MHNS		614.0	translate_LABO
laboratory		Naturvatten i Roslagen AB	NATVAT	Naturvatten i Roslagen AB	Naturvatten i Roslagen AB			4624.0	translate_LABO
laboratory		Naturvårdsverket	SEPA	Naturvårdsverket	Swedish Environmental Protection Agency	NV		1353.0	translate_LABO
laboratory		Naturvårdsverket Kustlaboratorium 	LCRS	Naturvårdsverket Kustlaboratorium 	Swedish Environmental Protection Agency Laboratory for Coastal Research 				translate_LABO
laboratory		Naturvårdsverket Vattenkvalitetslaboratorium	NWLS	Naturvårdsverket Vattenkvalitetslaboratorium	Swedish Environmental Protection Agency Water Quality Laboratory 	Swedish Environmental Protection Agency Naturvårdsverkets Water Quality Laboratory 			translate_LABO
laboratory		NIRAS Sweden AB	NIRAS	NIRAS Sweden AB	NIRAS Sweden AB	Niras			translate_LABO
laboratory		Nordisk Analyse Center	NACE	Nordisk Analyse Center	Nordisk Analyse Center				translate_LABO
laboratory		Nordmalings kommun	NORKOM	Nordmalings kommun	Nordmaling Municipality	Nordmalingskommun		4918.0	translate_LABO
laboratory		Nordvästskånes kustvattenkommitté	NVSKK	Nordvästskånes kustvattenkommitté	Coastal Committee of Nordvästra skåne	Nordvästskånes Kustvattenkommitté<or>Nordvästskånes Kustvattenkomitté (NVSKK)<or>Nordvässkånes Kustvattenkommitté (NVSKK)<or>Nordvästskånes Kustvattenkomitté<or>Nordvästra Skånes Kustvattenkommitté<or>Nordvästskånes kustvattenkommitté (NVSKK) 2000 och framåt<or>Nordvästskånes kustvattenkommitte<or> Nordvästskånes Kustvattenkommitte		4863.0	translate_LABO
laboratory		Norrköpings kommun	NRKKOM	Norrköpings kommun	Norrköping Municipality			4919.0	translate_LABO
